"Date","Day","Priority","Task","Task Type","Estimated Minutes","Status","Next Step","Notes"
"2026-05-05","Today","Done","Send Kabiru's message","Doing",5,"Done","None","Already completed."
"2026-05-05","Today","High","Write wedge sentence","Thinking",15,"Not Started","Write 10 versions, then pick the sharpest one","Starting point: Corvus turns any MES export into a meeting-ready debrief for manufacturing ops teams in under 5 minutes."
"2026-05-05","Today","High","Create lead tracker","Doing",15,"Not Started","Open/import lead_tracker_may_5_2026.csv in Google Sheets","Columns are already defined."
"2026-05-05","Today","High","Add 15 existing LinkedIn connections to tracker","Doing",10,"Not Started","Fill the 15 placeholder rows with real connection details","Use LinkedIn profile details for likely pain and next step."
"2026-05-06","Tomorrow","High","Build design partner list to 25","Thinking",45,"Not Started","Find 10 more leads using LinkedIn searches","Search terms: Operations Manager manufacturing; Plant Manager aerospace; Manufacturing Engineer hardware startup."
"2026-05-06","Tomorrow","High","Write design partner outreach message","Thinking",20,"Not Started","Adapt Group A and Group B messages using selected wedge sentence","Keep it short and specific."
"2026-05-06","Tomorrow","High","Send 10 messages","Doing",30,"Not Started","Personalize first line for each person, then send","Do not overthink; one profile-specific line is enough."
"2026-05-06","Tomorrow","Medium","Create demo_clean.csv","Doing",30,"Not Started","Clean shared/data/manufacturing_log.csv and save as demo_clean.csv","Make it look like a real MES export."
"2026-05-07","May 7","Medium","Create demo_messy.csv","Doing",45,"Not Started","Create messy variant from demo_clean.csv","Include inconsistent headers, missing fields, mixed dates, varied statuses, notes-only rows, and blank rows."
"2026-05-07","May 7","Medium","Write DEMO_SCRIPT.md","Thinking",20,"Not Started","Write the five-step demo path in one paragraph","Target total demo time: under 5 minutes."
"2026-05-07","May 7","High","Send remaining 5 messages","Doing",15,"Not Started","Send the last 5 personalized outreach messages","Keep tracker updated after each send."
"2026-05-08","May 8-10","Medium","Follow up on any replies","Doing",20,"Not Started","Check tracker responses and set next steps","Do this once per day."
"2026-05-08","May 8-10","Medium","Run discovery calls if anyone books","Thinking",45,"Not Started","Prepare a short discovery script before each call","Capture pains, current workflow, urgency, and willingness to test."
"2026-05-08","May 8-10","Medium","Review what Codex built","Thinking",45,"Not Started","Test and verify the demo path end to end","Log bugs or missing pieces immediately."
