Event_Time,Production_Line,Batch_No,Product_Family,Process_Area,Run_State,Issue_Tag,Crew_Lead,Ingredient_SKU,Good_Units,Planned_Units,Labor_Hrs,Ship_By,Planned_Finish,QA_Result,Material_Status,Remarks
2026-05-05 05:15,Line A,BATCH-CHIP-1042,Kettle Chips,Seasoning Drum,Running,NONE,CL-018,SEASON-BBQ-44,8200,12000,2.5,2026-05-05 14:00,2026-05-05 11:30,Pass,Available,BBQ chip run tracking normally
2026-05-05 05:40,Line B,BATCH-GRAN-2208,Granola Bars,Mixing Kettle,Stopped,ALLERGEN_HOLD,CL-044,OATS-GF-10,0,9000,1.2,2026-05-05 13:00,2026-05-05 10:15,Hold,Available,Allergen swab pending after peanut product changeover
2026-05-05 06:05,Line C,BATCH-COOKIE-7781,Sandwich Cookies,Cream Filler,Running,YIELD_LOW,CL-031,CREAM-VAN-02,3100,8500,2.0,2026-05-05 16:30,2026-05-05 12:45,Review,Available,Filling weight drift causing underweight rejects
2026-05-05 06:20,Line D,BATCH-PRETZ-4419,Pretzels,Packaging,Waiting,MAT_SHORT,CL-027,FILM-PRINT-88,0,15000,0.7,2026-05-05 15:00,2026-05-05 11:00,Pass,Shortage,Printed film roll not released from warehouse
2026-05-05 06:50,Line A,BATCH-CHIP-1043,Kettle Chips,Fryer,Running,TEMP_WARN,CL-018,OIL-CANOLA-07,5400,12000,1.8,2026-05-05 18:00,2026-05-05 13:20,Pass,Available,Fryer oil temp running high but within control limits
2026-05-05 07:10,Line E,BATCH-TRAIL-3305,Trail Mix,Weigh Fill,Blocked,SUPPLIER_LOT_HOLD,CL-052,ALMOND-RAW-31,0,6000,0.9,2026-05-05 17:00,2026-05-05 12:00,Hold,Lot Hold,Supplier almond lot COA mismatch awaiting QA disposition
2026-05-05 07:35,Line B,BATCH-GRAN-2209,Granola Bars,Wrapper,Running,NONE,CL-044,WRAP-GRAN-12,4100,9000,1.4,2026-05-05 18:30,2026-05-05 14:00,Pass,Available,Wrapper speed reduced after film splice issue
2026-05-05 08:00,Line C,BATCH-COOKIE-7782,Sandwich Cookies,Oven,Paused,MAINT_CHECK,CL-031,GAS-OVEN-01,2200,8500,1.6,2026-05-05 19:00,2026-05-05 14:15,Pass,Available,Burner inspection paused oven for maintenance signoff
2026-05-05 08:25,Line F,BATCH-PUFF-5150,Cheese Puffs,Extruder,Running,NONE,CL-063,CORN-MEAL-05,7600,11000,2.1,2026-05-05 20:00,2026-05-05 15:30,Pass,Available,Extrusion stable after die change
2026-05-05 08:50,Line D,BATCH-PRETZ-4420,Pretzels,Packaging,Blocked,LABEL_MISMATCH,CL-027,LABEL-SALT-02,0,15000,0.5,2026-05-05 16:00,2026-05-05 11:45,Hold,Available,Wrong retail label loaded for club pack order
2026-05-05 09:15,Line G,BATCH-NUT-9001,Roasted Nuts,Roaster,Running,QUALITY_RECHECK,CL-071,CASHEW-RAW-18,3600,7000,1.3,2026-05-05 21:00,2026-05-05 16:15,Review,Available,Salt adhesion below target sample sent for recheck
2026-05-05 09:45,Line H,BATCH-JERKY-6124,Beef Jerky,Dehydrator,Backlog,CREW_GAP,,BEEF-STRIP-22,0,5000,0,2026-05-06 08:00,2026-05-05 22:00,Pending,Available,Night crew lead not assigned for long dehydration cycle
